sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
832,sui,10,隋朝（589－618）,601年,隋卫文升平僚人叛乱,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%8D%AB%E6%96%87%E5%8D%87%E5%B9%B3%E5%83%9A%E4%BA%BA%E5%8F%9B%E4%B9%B1,,未分级,隋卫文升平僚人叛乱 601年
833,sui,10,隋朝（589－618）,601年,隋冯盎平僚人叛乱,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%86%AF%E7%9B%8E%E5%B9%B3%E5%83%9A%E4%BA%BA%E5%8F%9B%E4%B9%B1,,未分级,隋冯盎平僚人叛乱 601年
834,sui,10,隋朝（589－618）,602年,杨素击突厥之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E8%88%87%E7%AA%81%E5%8E%A5%E4%B9%8B%E6%88%B0,,未分级,杨素击突厥之战 602年
835,sui,10,隋朝（589－618）,602年,隋平李佛子之战,https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%BD%9B%E5%AD%90,,未分级,隋平李佛子之战 602年
836,sui,10,隋朝（589－618）,604年,隋平杨谅之战,https://zh.wikipedia.org/wiki/%E6%A5%8A%E8%AB%92,,未分级,隋平杨谅之战 604年
837,sui,10,隋朝（589－618）,605年,隋攻林邑之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E6%94%BB%E6%9E%97%E9%82%91%E4%B9%8B%E6%88%98,,未分级,隋攻林邑之战 605年
838,sui,10,隋朝（589－618）,605年,隋击契丹之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%87%BB%E5%A5%91%E4%B8%B9%E4%B9%8B%E6%88%98,,未分级,隋击契丹之战 605年
839,sui,10,隋朝（589－618）,607年,隋击铁勒之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%87%BB%E9%93%81%E5%8B%92%E4%B9%8B%E6%88%98,,未分级,隋击铁勒之战 607年
840,sui,10,隋朝（589－618）,608年,隋灭伊吾之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%81%AD%E4%BC%8A%E5%90%BE%E4%B9%8B%E6%88%98,,未分级,隋灭伊吾之战 608年
841,sui,10,隋朝（589－618）,608年－609年,隋击吐谷浑之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%87%BB%E5%90%90%E8%B0%B7%E6%B5%91%E4%B9%8B%E6%88%98,,未分级,隋击吐谷浑之战 608年－609年
842,sui,10,隋朝（589－618）,610年,隋平建国门事变,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%B9%B3%E5%BB%BA%E5%9B%BD%E9%97%A8%E4%BA%8B%E5%8F%98,,未分级,隋平建国门事变 610年
843,sui,10,隋朝（589－618）,610年,隋击流求之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E5%87%BB%E6%B5%81%E6%B1%82%E4%B9%8B%E6%88%98,,未分级,隋击流求之战 610年
844,sui,10,隋朝（589－618）,610年,西突厥射匮击处罗可汗之战,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%AA%81%E5%8E%A5%E5%B0%84%E5%8C%AE%E5%87%BB%E5%A4%84%E7%BD%97%E5%8F%AF%E6%B1%97%E4%B9%8B%E6%88%98,,未分级,西突厥射匮击处罗可汗之战 610年
845,sui,10,隋朝（589－618）,610年－618年,隋末农民战争,https://zh.wikipedia.org/wiki/%E9%9A%8B%E6%9C%AB%E5%86%9C%E6%B0%91%E6%88%98%E4%BA%89,,未分级,隋末农民战争 610年－618年
846,sui,10,隋朝（589－618）,610年,尉文通起义,https://zh.wikipedia.org/wiki/%E5%B0%89%E6%96%87%E9%80%9A,,未分级,尉文通起义 610年
847,sui,10,隋朝（589－618）,610年,王万昌起义,https://zh.wikipedia.org/wiki/%E7%8E%8B%E4%B8%87%E6%98%8C,,未分级,王万昌起义 610年
848,sui,10,隋朝（589－618）,610年－617年,翟让起义,https://zh.wikipedia.org/wiki/%E7%BF%9F%E8%AE%A9,,未分级,翟让起义 610年－617年
849,sui,10,隋朝（589－618）,611年,王薄起义,https://zh.wikipedia.org/wiki/%E7%8E%8B%E8%96%84,,未分级,王薄起义 611年
850,sui,10,隋朝（589－618）,611年,刘霸道起义,https://zh.wikipedia.org/wiki/%E5%8A%89%E9%9C%B8%E9%81%93,,未分级,刘霸道起义 611年
851,sui,10,隋朝（589－618）,611年,孙安祖起义,https://zh.wikipedia.org/wiki/%E5%AD%AB%E5%AE%89%E7%A5%96,,未分级,孙安祖起义 611年
852,sui,10,隋朝（589－618）,611年,高士达起义,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%A3%AB%E8%BE%BE,,未分级,高士达起义 611年
853,sui,10,隋朝（589－618）,611年－621年,窦建德起义,https://zh.wikipedia.org/wiki/%E7%AA%A6%E5%BB%BA%E5%BE%B7,,未分级,窦建德起义 611年－621年
854,sui,10,隋朝（589－618）,611年－615年,张金称起义,https://zh.wikipedia.org/wiki/%E5%BC%A0%E9%87%91%E7%A7%B0,,未分级,张金称起义 611年－615年
855,sui,10,隋朝（589－618）,612年,隋炀帝第一次攻高丽之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%82%80%E5%B8%9D%E7%AC%AC%E4%B8%80%E6%AC%A1%E6%94%BB%E9%AB%98%E4%B8%BD%E4%B9%8B%E6%88%98,,未分级,隋炀帝第一次攻高丽之战 612年
856,sui,10,隋朝（589－618）,613年,刘元进起义,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%85%83%E9%80%B2,,未分级,刘元进起义 613年
857,sui,10,隋朝（589－618）,613年－625年,杜伏威起义,https://zh.wikipedia.org/wiki/%E6%9D%9C%E4%BC%8F%E5%A8%81,,未分级,杜伏威起义 613年－625年
858,sui,10,隋朝（589－618）,613年,孟海公起义,https://zh.wikipedia.org/wiki/%E5%AD%9F%E6%B5%B7%E5%85%AC,,未分级,孟海公起义 613年
859,sui,10,隋朝（589－618）,613年,韩相国起义,https://zh.wikipedia.org/wiki/%E9%9F%A9%E7%9B%B8%E5%9B%BD,,未分级,韩相国起义 613年
860,sui,10,隋朝（589－618）,613年,彭孝才起义,https://zh.wikipedia.org/wiki/%E5%BD%AD%E5%AD%9D%E6%89%8D,,未分级,彭孝才起义 613年
861,sui,10,隋朝（589－618）,613年,宋子贤起义,https://zh.wikipedia.org/wiki/%E5%AE%8B%E5%AD%90%E8%B4%A4,,未分级,宋子贤起义 613年
862,sui,10,隋朝（589－618）,613年,杜彦冰起义,https://zh.wikipedia.org/wiki/%E6%9D%9C%E5%BD%A6%E5%86%B0,,未分级,杜彦冰起义 613年
863,sui,10,隋朝（589－618）,613年,李德逸起义,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%BE%B7%E9%80%B8,,未分级,李德逸起义 613年
864,sui,10,隋朝（589－618）,613年,韩进洛 、 甄宝车起义,https://zh.wikipedia.org/wiki/%E9%9F%A9%E8%BF%9B%E6%B4%9B,,未分级,韩进洛 、 甄宝车起义 613年
865,sui,10,隋朝（589－618）,613年,白瑜娑起义,https://zh.wikipedia.org/wiki/%E7%99%BD%E7%91%9C%E5%A8%91,,未分级,白瑜娑起义 613年
866,sui,10,隋朝（589－618）,613年,郭方预起义,https://zh.wikipedia.org/wiki/%E9%83%AD%E6%96%B9%E9%A2%84,,未分级,郭方预起义 613年
867,sui,10,隋朝（589－618）,613年,孟让起义,https://zh.wikipedia.org/wiki/%E5%AD%9F%E8%AE%93,,未分级,孟让起义 613年
868,sui,10,隋朝（589－618）,613年,郝孝德起义,https://zh.wikipedia.org/wiki/%E9%83%9D%E5%AD%9D%E5%BE%B7,,未分级,郝孝德起义 613年
869,sui,10,隋朝（589－618）,613年,格谦起义,https://zh.wikipedia.org/wiki/%E6%A0%BC%E8%AC%99,,未分级,格谦起义 613年
870,sui,10,隋朝（589－618）,613年,隋炀帝第二次攻高丽之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%82%80%E5%B8%9D%E7%AC%AC%E4%BA%8C%E6%AC%A1%E6%94%BB%E9%AB%98%E4%B8%BD%E4%B9%8B%E6%88%98,,未分级,隋炀帝第二次攻高丽之战 613年
871,sui,10,隋朝（589－618）,613年,隋平杨玄感之战,https://zh.wikipedia.org/wiki/%E6%9D%A8%E7%8E%84%E6%84%9F,,未分级,隋平杨玄感之战 613年
872,sui,10,隋朝（589－618）,613年,陈瑱 、 梁慧尚 、 李三儿起义,https://zh.wikipedia.org/wiki/%E9%99%88%E7%91%B1,,未分级,陈瑱 、 梁慧尚 、 李三儿起义 613年
873,sui,10,隋朝（589－618）,613年,朱燮起义,https://zh.wikipedia.org/wiki/%E6%9C%B1%E7%87%AE,,未分级,朱燮起义 613年
874,sui,10,隋朝（589－618）,613年,管崇起义,https://zh.wikipedia.org/wiki/%E7%AE%A1%E5%B4%87,,未分级,管崇起义 613年
875,sui,10,隋朝（589－618）,613年,吕明星起义,https://zh.wikipedia.org/wiki/%E5%90%95%E6%98%8E%E6%98%9F,,未分级,吕明星起义 613年
876,sui,10,隋朝（589－618）,613年,向海明起义,https://zh.wikipedia.org/wiki/%E5%90%91%E6%B5%B7%E6%98%8E,,未分级,向海明起义 613年
877,sui,10,隋朝（589－618）,613年,杜伏威灭宋颢之战,https://zh.wikipedia.org/wiki/%E6%9D%9C%E4%BC%8F%E5%A8%81%E7%81%AD%E5%AE%8B%E9%A2%A2%E4%B9%8B%E6%88%98,,未分级,杜伏威灭宋颢之战 613年
878,sui,10,隋朝（589－618）,614年,唐弼起义,https://zh.wikipedia.org/wiki/%E5%94%90%E5%BC%BC,,未分级,唐弼起义 614年
879,sui,10,隋朝（589－618）,614年,张大彪 、 宗世模起义,https://zh.wikipedia.org/wiki/%E5%BC%A0%E5%A4%A7%E5%BD%AA,,未分级,张大彪 、 宗世模起义 614年
880,sui,10,隋朝（589－618）,614年,刘迦论起义,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%BF%A6%E8%AB%96,,未分级,刘迦论起义 614年
881,sui,10,隋朝（589－618）,614年,郑文雅 、 林宝护起义,https://zh.wikipedia.org/wiki/%E9%83%91%E6%96%87%E9%9B%85,,未分级,郑文雅 、 林宝护起义 614年
882,sui,10,隋朝（589－618）,614年,隋炀帝第三次攻高丽之战,https://zh.wikipedia.org/wiki/%E9%9A%8B%E7%82%80%E5%B8%9D%E7%AC%AC%E4%B8%89%E6%AC%A1%E6%94%BB%E9%AB%98%E4%B8%BD%E4%B9%8B%E6%88%98,,未分级,隋炀帝第三次攻高丽之战 614年
883,sui,10,隋朝（589－618）,614年,杨公卿起义,https://zh.wikipedia.org/wiki/%E6%9D%A8%E5%85%AC%E5%8D%BF,,未分级,杨公卿起义 614年
884,sui,10,隋朝（589－618）,614年,司马长安起义,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A9%AC%E9%95%BF%E5%AE%89,,未分级,司马长安起义 614年
885,sui,10,隋朝（589－618）,614年,刘苗王起义,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%8B%97%E7%8E%8B,,未分级,刘苗王起义 614年
886,sui,10,隋朝（589－618）,614年,王德仁起义,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BE%B7%E4%BB%81,,未分级,王德仁起义 614年
887,sui,10,隋朝（589－618）,614年,左孝友起义,https://zh.wikipedia.org/wiki/%E5%B7%A6%E5%AD%9D%E5%8F%8B,,未分级,左孝友起义 614年
888,sui,10,隋朝（589－618）,614年,卢明月起义,https://zh.wikipedia.org/wiki/%E7%9B%A7%E6%98%8E%E6%9C%88,,未分级,卢明月起义 614年
889,sui,10,隋朝（589－618）,615年,颜宣政起义,https://zh.wikipedia.org/wiki/%E9%A2%9C%E5%AE%A3%E6%94%BF,,未分级,颜宣政起义 615年
890,sui,10,隋朝（589－618）,615年,王须拔 、 魏刀儿起义,https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%A0%88%E6%8B%94,,未分级,王须拔 、 魏刀儿起义 615年
891,sui,10,隋朝（589－618）,615年,杨仲绪起义,https://zh.wikipedia.org/wiki/%E6%9D%A8%E4%BB%B2%E7%BB%AA,,未分级,杨仲绪起义 615年
892,sui,10,隋朝（589－618）,615年,龙门之战,https://zh.wikipedia.org/wiki/%E9%BE%99%E9%97%A8%E4%B9%8B%E6%88%98,,未分级,龙门之战 615年
893,sui,10,隋朝（589－618）,615年,张起绪起义,https://zh.wikipedia.org/wiki/%E5%BC%A0%E8%B5%B7%E7%BB%AA,,未分级,张起绪起义 615年
894,sui,10,隋朝（589－618）,615年,雁门之围,https://zh.wikipedia.org/wiki/%E9%9B%81%E9%97%A8%E4%B9%8B%E5%9B%B4,,未分级,雁门之围 615年
895,sui,10,隋朝（589－618）,615年,李子通起义,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%AD%90%E9%80%9A,,未分级,李子通起义 615年
896,sui,10,隋朝（589－618）,615年,魏骐????起义,https://zh.wikipedia.org/wiki/%E9%AD%8F%E9%A8%8F%E9%A9%8E,,未分级,魏骐????起义 615年
897,sui,10,隋朝（589－618）,615年,敬盘陀 、 柴保昌起义,https://zh.wikipedia.org/wiki/%E6%95%AC%E7%9B%A4%E9%99%80,,未分级,敬盘陀 、 柴保昌起义 615年
898,sui,10,隋朝（589－618）,615年,李渊剿抚汾晋起义军,https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%B8%8A%E5%89%BF%E6%8A%9A%E6%B1%BE%E6%99%8B%E8%B5%B7%E4%B9%89%E5%86%9B,,未分级,李渊剿抚汾晋起义军 615年
899,sui,10,隋朝（589－618）,615年－617年,朱粲起义,https://zh.wikipedia.org/wiki/%E6%9C%B1%E7%B2%B2,,未分级,朱粲起义 615年－617年
900,sui,10,隋朝（589－618）,616年,翟松柏起义,https://zh.wikipedia.org/wiki/%E7%BF%9F%E6%9D%BE%E6%9F%8F,,未分级,翟松柏起义 616年
901,sui,10,隋朝（589－618）,616年,卢公暹起义,https://zh.wikipedia.org/wiki/%E5%8D%A2%E5%85%AC%E6%9A%B9,,未分级,卢公暹起义 616年
902,sui,10,隋朝（589－618）,616年,甄翟儿攻太原之战,https://zh.wikipedia.org/wiki/%E7%94%84%E7%BF%9F%E5%85%92,,未分级,甄翟儿攻太原之战 616年
903,sui,10,隋朝（589－618）,616年,孙华起义,https://zh.wikipedia.org/wiki/%E5%AD%AB%E8%8F%AF,,未分级,孙华起义 616年
904,sui,10,隋朝（589－618）,616年,赵万海起义,https://zh.wikipedia.org/wiki/%E8%B5%B5%E4%B8%87%E6%B5%B7,,未分级,赵万海起义 616年
905,sui,10,隋朝（589－618）,616年,操师乞 、 林士弘起义,https://zh.wikipedia.org/wiki/%E6%93%8D%E5%B8%88%E4%B9%9E,,未分级,操师乞 、 林士弘起义 616年
906,sui,10,隋朝（589－618）,616年,荔非世雄起义,https://zh.wikipedia.org/wiki/%E8%8D%94%E9%9D%9E%E4%B8%96%E9%9B%84,,未分级,荔非世雄起义 616年
907,sui,10,隋朝（589－618）,616年,杜扬州 、 沈觅敌起义,https://zh.wikipedia.org/wiki/%E6%9D%9C%E6%89%AC%E5%B7%9E,,未分级,杜扬州 、 沈觅敌起义 616年
908,sui,10,隋朝（589－618）,616年,大海寺之战,https://zh.wikipedia.org/wiki/%E5%A4%A7%E6%B5%B7%E5%AF%BA%E4%B9%8B%E6%88%98,,未分级,大海寺之战 616年
